file,row,seance,size_bytes,dark_pixels,total_pixels,density
row5_seance2.jpg,5,2,4651,1311,11550,0.1135
row3_seance1.jpg,3,1,9289,3386,29810,0.1136
row16_seance2.jpg,16,2,4596,1351,11872,0.1138
row75_seance2.jpg,75,2,5423,1321,11605,0.1138
row52_seance1.jpg,52,1,11237,3515,30408,0.1156
row38_seance1.jpg,38,1,11025,3514,30352,0.1158
row3_seance2.jpg,3,2,4907,1348,11605,0.1162
row19_seance2.jpg,19,2,4314,1387,11872,0.1168
row25_seance3.jpg,25,3,5209,1387,11872,0.1168
row48_seance1.jpg,48,1,11960,3608,30894,0.1168
row67_seance1.jpg,67,1,11371,3587,30723,0.1168
row20_seance2.jpg,20,2,4534,1386,11816,0.1173
row31_seance8.jpg,31,8,5028,992,8456,0.1173
row25_seance9.jpg,25,9,5613,1404,11872,0.1183
row50_seance7.jpg,50,7,5520,1427,12040,0.1185
row66_seance8.jpg,66,8,5569,1401,11825,0.1185
row25_seance1.jpg,25,1,11125,3598,30296,0.1188
row82_seance5.jpg,82,5,6002,1436,12084,0.1188
row61_seance1.jpg,61,1,10150,3617,30184,0.1198
row29_seance1.jpg,29,1,10513,3631,30296,0.1199
row62_seance4.jpg,62,4,5988,1466,12096,0.1212
row2_seance2.jpg,2,2,4950,1438,11816,0.1217
row42_seance7.jpg,42,7,5264,1447,11816,0.1225
row48_seance6.jpg,48,6,5792,1475,12027,0.1226
row48_seance2.jpg,48,2,5374,1493,12141,0.123
row75_seance1.jpg,75,1,11606,3664,29755,0.1231
row82_seance3.jpg,82,3,5707,1503,12198,0.1232
